frame,time,air_ground,polynomial_x,polynomial_y,polynomial_z,bezier_x,bezier_y,bezier_z,exponential_x,exponential_y,exponential_z,mu_s_x,mu_s_y,mu_s_z,ball_x,ball_y,ball_z
4,0.000000,ground,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000,32.149816,24.629673,-0.110000
5,0.033333,air,32.343454,24.343928,-0.259687,32.330049,24.408881,-0.297759,32.344014,24.578639,-0.338795,32.096517,25.687328,-0.259687,32.096517,25.687328,-0.259687
6,0.066667,air,32.536103,24.056577,-0.406431,32.510249,24.181847,-0.479856,32.537181,24.492902,-0.556949,32.059731,27.712677,-0.406431,32.059731,27.712677,-0.406431
7,0.100000,air,32.727764,23.767619,-0.550231,32.690395,23.948683,-0.656359,32.729318,24.375966,-0.764852,32.040494,28.286358,-0.550231,32.040494,28.286358,-0.550231
8,0.133333,air,32.918436,23.477054,-0.691087,32.870462,23.709503,-0.827333,32.920427,24.230977,-0.962882,32.039855,27.985309,-0.691087,32.039855,27.985309,-0.691087
9,0.166667,air,33.108119,23.184883,-0.828999,33.050427,23.464420,-0.992845,33.110507,24.060769,-1.151399,32.058855,27.513087,-0.828999,32.058855,27.513087,-0.828999
10,0.200000,air,33.296814,22.891104,-0.963967,33.230267,23.213547,-1.152962,33.299561,23.867884,-1.330754,32.098501,27.016693,-0.963967,32.098501,27.016693,-0.963967
11,0.233333,air,33.484520,22.595719,-1.095992,33.409958,22.956996,-1.307748,33.487590,23.654613,-1.501282,32.159739,26.518827,-1.095991,32.159739,26.518827,-1.095991
12,0.266667,air,33.671238,22.298727,-1.225072,33.589478,22.694881,-1.457272,33.674594,23.423012,-1.663309,32.243422,26.022827,-1.225072,32.243422,26.022827,-1.225072
13,0.300000,air,33.856967,22.000128,-1.351209,33.768802,22.427316,-1.601598,33.860575,23.174932,-1.817145,32.350272,25.529179,-1.351209,32.350272,25.529179,-1.351209
14,0.333333,air,34.041708,21.699922,-1.474402,33.947908,22.154412,-1.740794,34.045533,22.912034,-1.963091,32.480835,25.037956,-1.474402,32.480835,25.037956,-1.474402
15,0.366667,air,34.225460,21.398110,-1.594651,34.126772,21.876284,-1.874925,34.229470,22.635816,-2.101437,32.635441,24.549166,-1.594651,32.635441,24.549166,-1.594651
16,0.400000,air,34.408223,21.094690,-1.711956,34.305371,21.593043,-2.004058,34.412387,22.347621,-2.232462,32.814160,24.062812,-1.711956,32.814160,24.062812,-1.711956
17,0.433333,air,34.589998,20.789664,-1.826317,34.483681,21.304804,-2.128259,34.594286,22.048657,-2.356435,33.016756,23.578894,-1.826317,33.016756,23.578894,-1.826317
18,0.466667,air,34.770784,20.483031,-1.937735,34.661679,21.011680,-2.247594,34.775166,21.740012,-2.473615,33.242651,23.097412,-1.937735,33.242651,23.097412,-1.937735
19,0.500000,air,34.950582,20.174791,-2.046209,34.839342,20.713783,-2.362130,34.955029,21.422662,-2.584250,33.490894,22.618366,-2.046208,33.490894,22.618366,-2.046208
20,0.533333,air,35.129391,19.864945,-2.151738,35.016647,20.411226,-2.471933,35.133877,21.097487,-2.688581,33.760142,22.141755,-2.151738,33.760142,22.141755,-2.151738
21,0.566667,air,35.307212,19.553491,-2.254324,35.193570,20.104123,-2.577068,35.311710,20.765275,-2.786840,34.048651,21.667581,-2.254324,34.048651,21.667581,-2.254324
22,0.600000,air,35.484044,19.240431,-2.353967,35.370087,19.792587,-2.677604,35.488530,20.426737,-2.879249,34.354290,21.195842,-2.353966,34.354290,21.195842,-2.353966
23,0.633333,air,35.659887,18.925764,-2.450665,35.546176,19.476730,-2.773605,35.664337,20.082512,-2.966023,34.674570,20.726539,-2.450664,34.674570,20.726539,-2.450664
24,0.666667,air,35.834742,18.609490,-2.544419,35.721814,19.156666,-2.865138,35.839132,19.733173,-3.047369,35.006688,20.259672,-2.544419,35.006688,20.259672,-2.544419
25,0.700000,air,36.008609,18.291609,-2.635230,35.896975,18.832508,-2.952269,36.012918,19.379236,-3.123486,35.347595,19.795241,-2.635229,35.347595,19.795241,-2.635229
26,0.733333,air,36.181487,17.972121,-2.723097,36.071639,18.504369,-3.035065,36.185694,19.021166,-3.194566,35.694074,19.333246,-2.723096,35.694074,19.333246,-2.723096
27,0.766667,air,36.353376,17.651027,-2.808020,36.245780,18.172362,-3.113592,36.357461,18.659379,-3.260794,36.042832,18.873686,-2.808019,36.042832,18.873686,-2.808019
28,0.800000,air,36.524277,17.328326,-2.889999,36.419376,17.836600,-3.187916,36.528222,18.294251,-3.322348,36.390594,18.416563,-2.889998,36.390594,18.416563,-2.889998
29,0.833333,air,36.694189,17.004018,-2.969034,36.592404,17.497197,-3.258103,36.697976,17.926118,-3.379400,36.734201,17.961875,-2.969033,36.734201,17.961875,-2.969033
30,0.866667,air,36.863112,16.678103,-3.045125,36.764840,17.154264,-3.324220,36.866726,17.555285,-3.432115,37.070697,17.509623,-3.045125,37.070697,17.509623,-3.045125
31,0.900000,air,37.031047,16.350581,-3.118273,36.936660,16.807916,-3.386333,37.034471,17.182023,-3.480651,37.397410,17.059807,-3.118272,37.397410,17.059807,-3.118272
32,0.933333,air,37.197994,16.021453,-3.188477,37.107842,16.458266,-3.444508,37.201214,16.806578,-3.525163,37.712011,16.612427,-3.188476,37.712011,16.612427,-3.188476
33,0.966667,air,37.363951,15.690717,-3.255736,37.278362,16.105426,-3.498811,37.366955,16.429170,-3.565798,38.012563,16.167483,-3.255736,38.012563,16.167483,-3.255736
34,1.000000,air,37.528921,15.358375,-3.320052,37.448197,15.749509,-3.549309,37.531695,16.049997,-3.602699,38.297543,15.724975,-3.320052,38.297543,15.724975,-3.320052
35,1.033333,air,37.692902,15.024426,-3.381425,37.617323,15.390629,-3.596069,37.695436,15.669237,-3.636002,38.565847,15.284902,-3.381424,38.565847,15.284902,-3.381424
36,1.066667,air,37.855894,14.688870,-3.439853,37.785717,15.028899,-3.639155,37.858178,15.287051,-3.665840,38.816783,14.847266,-3.439852,38.816783,14.847266,-3.439852
37,1.100000,air,38.017897,14.351708,-3.495337,37.953356,14.664432,-3.678636,38.019922,14.903581,-3.692339,39.050046,14.412065,-3.495337,39.050046,14.412065,-3.495337
38,1.133333,air,38.178912,14.012938,-3.547878,38.120216,14.297340,-3.714576,38.180670,14.518959,-3.715623,39.265675,13.979300,-3.547877,39.265675,13.979300,-3.547877
39,1.166667,air,38.338939,13.672562,-3.597475,38.286274,13.927737,-3.747042,38.340423,14.133300,-3.735809,39.464020,13.548971,-3.597474,39.464020,13.548971,-3.597474
40,1.200000,air,38.497977,13.330579,-3.644128,38.451508,13.555737,-3.776101,38.499181,13.746709,-3.753011,39.645686,13.121078,-3.644127,39.645686,13.121078,-3.644127
41,1.233333,air,38.656026,12.986989,-3.687837,38.615892,13.181451,-3.801818,38.656946,13.359279,-3.767339,39.811487,12.695621,-3.687836,39.811487,12.695621,-3.687836
42,1.266667,air,38.813087,12.641792,-3.728602,38.779404,12.804994,-3.824260,38.813718,12.971096,-3.778898,39.962400,12.272600,-3.728602,39.962400,12.272600,-3.728602
43,1.300000,air,38.969159,12.294989,-3.766424,38.942022,12.426478,-3.843494,38.969500,12.582236,-3.787789,40.099519,11.852014,-3.766423,40.099519,11.852014,-3.766423
44,1.333333,air,39.124243,11.946578,-3.801301,39.103720,12.046016,-3.859585,39.124291,12.192766,-3.794111,40.224015,11.433865,-3.801301,40.224015,11.433865,-3.801301
45,1.366667,air,39.278338,11.596561,-3.833235,39.264477,11.663721,-3.872600,39.278093,11.802749,-3.797958,40.337101,11.018151,-3.833234,40.337101,11.018151,-3.833234
46,1.400000,air,39.431444,11.244937,-3.862225,39.424268,11.279707,-3.882605,39.430907,11.412239,-3.799420,40.440005,10.604873,-3.862224,40.440005,10.604873,-3.862224
47,1.433333,air,39.583562,10.891706,-3.888271,39.583071,10.894087,-3.889666,39.582735,11.021287,-3.798586,40.533941,10.194031,-3.888270,40.533941,10.194031,-3.888270
48,1.466667,air,39.734692,10.536869,-3.911373,39.740862,10.506973,-3.893850,39.733576,10.629936,-3.795540,40.620096,9.785625,-3.911372,40.620096,9.785625,-3.911372
49,1.500000,air,39.884832,10.180424,-3.931531,39.897617,10.118479,-3.895223,39.883432,10.238228,-3.790362,40.699610,9.379655,-3.931531,40.699610,9.379655,-3.931531
50,1.533333,air,40.033985,9.822373,-3.948746,40.053314,9.728718,-3.893852,40.032305,9.846198,-3.783131,40.773569,8.976121,-3.948745,40.773569,8.976121,-3.948745
51,1.566667,air,40.182148,9.462715,-3.963017,40.207929,9.337802,-3.889801,40.180194,9.453879,-3.773923,40.842997,8.575022,-3.963016,40.842997,8.575022,-3.963016
52,1.600000,air,40.329324,9.101450,-3.974344,40.361438,8.945845,-3.883139,40.327102,9.061300,-3.762810,40.908850,8.176360,-3.974343,40.908850,8.176360,-3.974343
53,1.633333,air,40.475510,8.738578,-3.982727,40.513819,8.552961,-3.873930,40.473030,8.668487,-3.749861,40.972019,7.780133,-3.982726,40.972019,7.780133,-3.982726
54,1.666667,air,40.620708,8.374100,-3.988166,40.665048,8.159261,-3.862242,40.617977,8.275464,-3.735145,41.033323,7.386342,-3.988165,41.033323,7.386342,-3.988165
55,1.700000,air,40.764918,8.008014,-3.990661,40.815101,7.764860,-3.848140,40.761946,7.882251,-3.718726,41.093517,6.994987,-3.990660,41.093517,6.994987,-3.990660
56,1.733333,air,40.908138,7.640322,-3.990212,40.963956,7.369869,-3.831691,40.904938,7.488869,-3.700666,41.153289,6.606068,-3.990212,41.153289,6.606068,-3.990212
57,1.766667,air,41.050371,7.271023,-3.986820,41.111589,6.974403,-3.812961,41.046953,7.095334,-3.681026,41.213267,6.219585,-3.986819,41.213267,6.219585,-3.986819
58,1.800000,air,41.191615,6.900117,-3.980484,41.257976,6.578575,-3.792017,41.187992,6.701662,-3.659865,41.274021,5.835537,-3.980483,41.274021,5.835537,-3.980483
59,1.833333,air,41.331870,6.527604,-3.971204,41.403095,6.182496,-3.768924,41.328057,6.307866,-3.637236,41.336065,5.453926,-3.971203,41.336065,5.453926,-3.971203
60,1.866667,air,41.471136,6.153485,-3.958980,41.546922,5.786282,-3.743750,41.467148,5.913959,-3.613196,41.399865,5.074750,-3.958979,41.399865,5.074750,-3.958979
61,1.900000,air,41.609414,5.777759,-3.943812,41.689433,5.390044,-3.716559,41.605267,5.519952,-3.587795,41.465839,4.698010,-3.943811,41.465839,4.698010,-3.943811
62,1.933333,air,41.746704,5.400425,-3.925700,41.830606,4.993895,-3.687419,41.742415,5.125855,-3.561083,41.534364,4.323706,-3.925700,41.534364,4.323706,-3.925700
63,1.966667,air,41.883005,5.021485,-3.904645,41.970416,4.597949,-3.656396,41.878593,4.731678,-3.533108,41.605776,3.951838,-3.904644,41.605776,3.951838,-3.904644
64,2.000000,air,42.018317,4.640939,-3.880646,42.108842,4.202319,-3.623556,42.013801,4.337428,-3.503917,41.680379,3.582406,-3.880645,41.680379,3.582406,-3.880645
65,2.033333,air,42.152641,4.258785,-3.853703,42.245858,3.807118,-3.588966,42.148041,3.943113,-3.473555,41.758441,3.215410,-3.853702,41.758441,3.215410,-3.853702
66,2.066667,air,42.285976,3.875025,-3.823816,42.381443,3.412459,-3.552690,42.281313,3.548740,-3.442064,41.840204,2.850849,-3.823815,41.840204,2.850849,-3.823815
67,2.100000,air,42.418323,3.489657,-3.790985,42.515572,3.018455,-3.514797,42.413620,3.154313,-3.409486,41.925884,2.488725,-3.790984,41.925884,2.488725,-3.790984
68,2.133333,air,42.549681,3.102683,-3.755210,42.648222,2.625219,-3.475352,42.544961,2.759840,-3.375861,42.015673,2.129036,-3.755210,42.015673,2.129036,-3.755210
69,2.166667,air,42.680051,2.714102,-3.716492,42.779371,2.232864,-3.434422,42.675338,2.365323,-3.341227,42.109742,1.771783,-3.716491,42.109742,1.771783,-3.716491
70,2.200000,air,42.809432,2.323915,-3.674829,42.908994,1.841504,-3.392072,42.804752,1.970768,-3.305621,42.208243,1.416966,-3.674829,42.208243,1.416966,-3.674829
71,2.233333,air,42.937824,1.932120,-3.630223,43.037068,1.451251,-3.348369,42.933204,1.576179,-3.269079,42.311312,1.064585,-3.630223,42.311312,1.064585,-3.630223
72,2.266667,air,43.065228,1.538719,-3.582673,43.163570,1.062218,-3.303380,43.060695,1.181559,-3.231635,42.419069,0.714640,-3.582673,42.419069,0.714640,-3.582673
73,2.300000,air,43.191643,1.143711,-3.532179,43.288477,0.674518,-3.257170,43.187225,0.786911,-3.193322,42.531622,0.367131,-3.532179,42.531622,0.367131,-3.532179
74,2.333333,air,43.317070,0.747096,-3.478742,43.411765,0.288266,-3.209806,43.312797,0.392238,-3.154173,42.649065,0.022057,-3.478741,42.649065,0.022057,-3.478741
75,2.366667,air,43.441508,0.348874,-3.422360,43.533411,-0.096428,-3.161354,43.437411,-0.002458,-3.114218,42.771483,-0.320580,-3.422359,42.771483,-0.320580,-3.422359
76,2.400000,air,43.564958,-0.050955,-3.363035,43.653392,-0.479448,-3.111880,43.561067,-0.397174,-3.073486,42.898952,-0.660782,-3.363034,42.898952,-0.660782,-3.363034
77,2.433333,air,43.687419,-0.452390,-3.300765,43.771684,-0.860683,-3.061451,43.683768,-0.791908,-3.032007,43.031539,-0.998548,-3.300765,43.031539,-0.998548,-3.300765
78,2.466667,air,43.808891,-0.855433,-3.235552,43.888264,-1.240019,-3.010133,43.805514,-1.186658,-2.989806,43.169301,-1.333878,-3.235552,43.169301,-1.333878,-3.235552
79,2.500000,air,43.929375,-1.260082,-3.167395,44.003108,-1.617343,-2.957992,43.926306,-1.581423,-2.946912,43.312293,-1.666772,-3.167395,43.312293,-1.666772,-3.167395
80,2.533333,air,44.048870,-1.666338,-3.096294,44.116194,-1.992542,-2.905095,44.046144,-1.976202,-2.903349,43.460560,-1.997230,-3.096294,43.460560,-1.997230,-3.096294
81,2.566667,air,44.167377,-2.074200,-3.022250,44.227497,-2.365503,-2.851508,44.165031,-2.370992,-2.859142,43.614144,-2.325253,-3.022249,43.614144,-2.325253,-3.022249
82,2.600000,air,44.284895,-2.483670,-2.945261,44.336996,-2.736112,-2.797296,44.282967,-2.765793,-2.814315,43.773082,-2.650839,-2.945261,43.773082,-2.650839,-2.945261
83,2.633333,air,44.401425,-2.894746,-2.865329,44.444665,-3.104258,-2.742527,44.399953,-3.160603,-2.768890,43.937407,-2.973990,-2.865329,43.937407,-2.973990,-2.865329
84,2.666667,air,44.516966,-3.307429,-2.782453,44.550482,-3.469826,-2.687267,44.515991,-3.555422,-2.722889,44.107148,-3.294705,-2.782452,44.107148,-3.294705,-2.782452
85,2.700000,air,44.631519,-3.721719,-2.696633,44.654424,-3.832704,-2.631581,44.631080,-3.950249,-2.676334,44.282329,-3.612983,-2.696632,44.282329,-3.612983,-2.696632
86,2.733333,air,44.745083,-4.137616,-2.607869,44.756467,-4.192778,-2.575537,44.745222,-4.345083,-2.629244,44.462975,-3.928826,-2.607869,44.462975,-3.928826,-2.607869
87,2.766667,air,44.857658,-4.555120,-2.516161,44.856588,-4.549936,-2.519200,44.858419,-4.739923,-2.581640,44.649105,-4.242234,-2.516161,44.649105,-4.242234,-2.516161
88,2.800000,air,44.969245,-4.974230,-2.421510,44.954764,-4.904064,-2.462637,44.970671,-5.134769,-2.533540,44.840737,-4.553205,-2.421509,44.840737,-4.553205,-2.421509
89,2.833333,air,45.079843,-5.394948,-2.323914,45.050970,-5.255050,-2.405913,45.081979,-5.529620,-2.484963,45.037887,-4.861740,-2.323914,45.037887,-4.861740,-2.323914
90,2.866667,air,45.189453,-5.817272,-2.223375,45.145185,-5.602780,-2.349096,45.192344,-5.924476,-2.435926,45.240570,-5.167840,-2.223375,45.240570,-5.167840,-2.223375
91,2.900000,air,45.298074,-6.241203,-2.119892,45.237384,-5.947141,-2.292252,45.301767,-6.319335,-2.386445,45.448798,-5.471503,-2.119892,45.448798,-5.471503,-2.119892
92,2.933333,air,45.405706,-6.666741,-2.013465,45.327544,-6.288020,-2.235446,45.410249,-6.714199,-2.336538,45.662582,-5.772731,-2.013465,45.662582,-5.772731,-2.013465
93,2.966667,air,45.512350,-7.093885,-1.904095,45.415642,-6.625304,-2.178746,45.517792,-7.109065,-2.286220,45.881932,-6.071523,-1.904094,45.881932,-6.071523,-1.904094
94,3.000000,air,45.618006,-7.522637,-1.791780,45.501655,-6.958880,-2.122217,45.624395,-7.503935,-2.235505,46.106857,-6.367879,-1.791780,46.106857,-6.367879,-1.791780
95,3.033333,air,45.722673,-7.952995,-1.676522,45.585559,-7.288635,-2.065925,45.730061,-7.898807,-2.184409,46.337364,-6.661799,-1.676521,46.337364,-6.661799,-1.676521
96,3.066667,air,45.826351,-8.384960,-1.558319,45.667331,-7.614456,-2.009938,45.834790,-8.293682,-2.132945,46.573461,-6.953284,-1.558319,46.573461,-6.953284,-1.558319
97,3.100000,air,45.929041,-8.818532,-1.437173,45.746947,-7.936230,-1.954320,45.938583,-8.688559,-2.081127,46.815154,-7.242332,-1.437173,46.815154,-7.242332,-1.437173
98,3.133333,air,46.030742,-9.253711,-1.313083,45.824385,-8.253843,-1.899139,46.041442,-9.083438,-2.028969,47.062448,-7.528945,-1.313083,47.062448,-7.528945,-1.313083
